airport_id,icao,iata,name,lat,long,country,alt,utcoffset,tzolson
2136,OPSS,SDT,Saidu Sharif Airport,34.8135986328125,72.3527984619141,Pakistan,3183,5,Asia/Karachi
2137,OPSU,SUL,Sui Airport,28.6450996398926,69.1769027709961,Pakistan,763,5,Asia/Karachi
2138,OPTH,BDN,Talhar Airport,24.8414993286133,68.8384017944336,Pakistan,28,5,Asia/Karachi
2139,OPWN,WAF,Wana Airport,32.3046989440918,69.5703964233398,Pakistan,4550,5,Asia/Karachi
2140,OPZB,PZH,Zhob Airport,31.3584003448486,69.4636001586914,Pakistan,4728,5,Asia/Karachi
2141,ORMM,BSR,Basrah International Airport,30.5491008758545,47.6621017456055,Iraq,11,3,Asia/Baghdad
2142,OSAP,ALP,Aleppo International Airport,36.1806983947754,37.2243995666504,Syria,1276,2,Asia/Damascus
2143,OSDI,DAM,Damascus International Airport,33.4114990234375,36.5155982971191,Syria,2020,2,Asia/Damascus
2144,OSDZ,DEZ,Deir ez-Zor Air Base,35.2854,40.175999,Syria,700,2,Asia/Damascus
2145,OSLK,LTK,Bassel Al-Assad International Airport,35.4011001586914,35.9486999511719,Syria,157,2,Asia/Damascus
2146,OSPR,PMS,Palmyra Airport,34.5574,38.316898,Syria,1322,2,Asia/Damascus
2147,OTBD,DIA,Doha International Airport,25.261101,51.565102,Qatar,35,3,Asia/Qatar
2148,PCIS,CIS,Canton Island Airport,-2.76812005043,-171.710006714,Kiribati,9,13,Pacific/Enderbury
2149,PGRO,ROP,Rota International Airport,14.1743001937866,145.24299621582,Northern Mariana Islands,607,10,Pacific/Saipan
2150,PGSN,SPN,Saipan International Airport,15.119,145.729004,Northern Mariana Islands,215,10,Pacific/Saipan
2151,PGUA,UAM,Andersen Air Force Base,13.584,144.929998,Guam,627,10,Pacific/Guam
2152,PGUM,GUM,Antonio B. Won Pat International Airport,13.4834003448,144.796005249,Guam,298,10,Pacific/Guam
2153,PGWT,TIQ,Tinian International Airport,14.9991998672485,145.619003295898,Northern Mariana Islands,271,10,Pacific/Saipan
2154,PKMJ,MAJ,Marshall Islands International Airport,7.06476020812988,171.272003173828,Marshall Islands,6,12,Pacific/Majuro
2155,PKRO,,Dyess Army Air Field,9.39688968658,167.470993042,Marshall Islands,9,12,Pacific/Majuro
2156,PKWA,KWA,Bucholz Army Air Field,8.72012042999268,167.731994628906,Marshall Islands,9,12,Pacific/Majuro
2157,PLCH,CXI,Cassidy International Airport,1.98616003990173,-157.350006103516,Kiribati,5,-12,\N
2158,PMDY,MDY,Henderson Field,28.2017002105713,-177.380996704102,Midway Islands,13,-11,Pacific/Midway
2159,PTKK,TKK,Chuuk International Airport,7.46187019348145,151.843002319336,Micronesia,11,10,Pacific/Truk
2160,PTPN,PNI,Pohnpei International Airport,6.98509979248047,158.208999633789,Micronesia,10,11,Pacific/Ponape
2161,PTRO,ROR,Babelthuap Airport,7.36731,134.544236,Palau,176,9,Pacific/Palau
2162,PTSA,KSA,Kosrae International Airport,5.35698,162.957993,Micronesia,11,11,Pacific/Kosrae
